question,course,document
What is the start date and time for the course?,data-engineering-zoomcamp,c02e79ef
How can I subscribe to the course's public Google Calendar?,data-engineering-zoomcamp,c02e79ef
Where can I register for the course before it starts?,data-engineering-zoomcamp,c02e79ef
Where can I find updates and announcements related to the course?,data-engineering-zoomcamp,c02e79ef
How can I join the course's community on Slack and access the relevant channel?,data-engineering-zoomcamp,c02e79ef
What are the prerequisites for enrolling in this course?,data-engineering-zoomcamp,1f6520ca
Are there any specific requirements before starting this course?,data-engineering-zoomcamp,1f6520ca
What knowledge or skills are necessary to take this course?,data-engineering-zoomcamp,1f6520ca
What should I have learned or be familiar with before taking this course?,data-engineering-zoomcamp,1f6520ca
What are the prerequisites that I need to meet to join this course?,data-engineering-zoomcamp,1f6520ca
"{'question': 'Is it possible to join the course after the start date?', 'answer': ""Yes, you can still join the course. However, you're still eligible to submit homeworks, and there will be deadlines for final projects, so it's best not to leave everything for the last minute.""}",data-engineering-zoomcamp,7842b56a
"{'question': 'If I join the course after the start date, can I submit the homeworks?', 'answer': ""Yes, even if you don't register, you're still eligible to submit the homeworks.""}",data-engineering-zoomcamp,7842b56a
"{'question': 'What happens if I join the course after the start date and miss the deadline for final projects?', 'answer': 'If you miss the deadline for the final projects, you may not be able to complete the course.'}",data-engineering-zoomcamp,7842b56a
"{'question': 'Are there any penalties for joining the course after the start date?', 'answer': 'There are no penalties for joining the course after the start date. However, you should be aware of the deadlines for turning in the final projects.'}",data-engineering-zoomcamp,7842b56a
"{'question': 'Can I still turn in the final projects if I join the course after the start date?', 'answer': 'Yes, you can still turn in the final projects. However, you should be aware of the deadlines for turning in the final projects.'}",data-engineering-zoomcamp,7842b56a
Question 1: I have registered for the Data Engineering Bootcamp. Is there a specific time when I should expect a confirmation email?,data-engineering-zoomcamp,0bbf41ec
"Question 2: If I have registered for the Data Engineering Bootcamp, is it necessary for me to wait for a confirmation email before I start learning and submitting homework?",data-engineering-zoomcamp,0bbf41ec
Question 3: Does the Data Engineering Bootcamp check the submitted homework against a registered list?,data-engineering-zoomcamp,0bbf41ec
"Question 4: Is the registration process for the Data Engineering Bootcamp only used to gauge interest before the start date, and not for verification purposes during the course?",data-engineering-zoomcamp,0bbf41ec
"Question 5: Can I start learning and submitting homework without receiving a confirmation email, as I have already registered for the Data Engineering Bootcamp?",data-engineering-zoomcamp,0bbf41ec
"Before the course starts, can you explain the steps I should take to prepare?",data-engineering-zoomcamp,63394d91
What are the specific dependencies and requirements I need to install before the course starts?,data-engineering-zoomcamp,63394d91
"For the course, what account and software do I need to set up beforehand?",data-engineering-zoomcamp,63394d91
Is it necessary to set up Python 3 using Anaconda for the course?,data-engineering-zoomcamp,63394d91
"Besides installing the necessary software, is there any other preparation I should do before the course begins, such as reviewing prerequisites or syllabus?",data-engineering-zoomcamp,63394d91
question1,data-engineering-zoomcamp,2ed9b986
question2,data-engineering-zoomcamp,2ed9b986
question3,data-engineering-zoomcamp,2ed9b986
question4,data-engineering-zoomcamp,2ed9b986
question5,data-engineering-zoomcamp,2ed9b986
"{'question': 'Will the current cohort of the course use the same AI and infrastructure as the previous one?', 'answer': 'No, for the 2024 edition we are using Mage AI instead of Prefect and re-recorded the terraform videos. For 2023, we used Prefect instead of Airflow.'}",data-engineering-zoomcamp,93e2c8ed
"{'question': 'What AI tool is being used in the 2024 edition of the course?', 'answer': 'Mage AI'}",data-engineering-zoomcamp,93e2c8ed
"{'question': 'What infrastructure changes were made for the 2024 edition of the course?', 'answer': 'The terraform videos were re-recorded.'}",data-engineering-zoomcamp,93e2c8ed
"{'question': 'What AI tool was used in the 2023 edition of the course?', 'answer': 'Prefect'}",data-engineering-zoomcamp,93e2c8ed
"{'question': 'What infrastructure did the 2023 edition of the course use instead of Airflow?', 'answer': 'Prefect'}",data-engineering-zoomcamp,93e2c8ed
"{'question': 'Is it possible to follow the course after it has finished?', 'answer': 'Yes, we will keep all the materials after the course finishes, so you can follow the course at your own pace after it finishes.'}",data-engineering-zoomcamp,a482086d
"{'question': 'Can I access the course materials after the course is over?', 'answer': 'Yes, we will keep all the materials after the course finishes.'}",data-engineering-zoomcamp,a482086d
"{'question': 'Can I continue working on the homeworks after the course ends?', 'answer': 'Yes, you can continue looking at the homeworks after the course finishes.'}",data-engineering-zoomcamp,a482086d
"{'question': 'Can I prepare for the next cohort by following the course materials after the current one ends?', 'answer': 'Yes, you can continue preparing for the next cohort.'}",data-engineering-zoomcamp,a482086d
"{'question': 'What can I do with the course materials after the course finishes?', 'answer': 'You can follow the course at your own pace, continue looking at the homeworks, prepare for the next cohort, and start working on your final capstone project.'}",data-engineering-zoomcamp,a482086d
"Question 1: If I take the course in self-paced mode, is there support available?",data-engineering-zoomcamp,eb56ae98
Question 2: Can I ask questions if I encounter issues in the self-paced course?,data-engineering-zoomcamp,eb56ae98
Question 3: What should I do if I have questions during the self-paced course?,data-engineering-zoomcamp,eb56ae98
Question 4: Is there a specific channel to ask questions in the self-paced course?,data-engineering-zoomcamp,eb56ae98
Question 5: How can I search for answers to my questions in the self-paced course?,data-engineering-zoomcamp,eb56ae98
What is the main YouTube playlist for the course's videos?,data-engineering-zoomcamp,4292531b
Where can I find the main 'DATA ENGINEERING' YouTube playlist mentioned in the FAQ?,data-engineering-zoomcamp,4292531b
Is there a Github repository that shows each video with a thumbnail for the course's videos?,data-engineering-zoomcamp,4292531b
"Besides the main playlist, are there year-specific playlists for additional course videos?",data-engineering-zoomcamp,4292531b
Where can I find the year-specific playlists for additional course videos?,data-engineering-zoomcamp,4292531b
"{'question': 'What is the estimated time commitment for this course per week?', 'answer': 'It depends on your background and previous experience with modules. It is expected to require about 5 - 15 hours per week.'}",data-engineering-zoomcamp,ea739c65
"{'question': 'Is the time commitment for the course flexible for those with extensive prior knowledge or experience?', 'answer': 'Yes, the time commitment can vary based on your background and previous experience with modules.'}",data-engineering-zoomcamp,ea739c65
"{'question': 'Can I adjust my study schedule to fit the course requirements within the 5 - 15 hour range?', 'answer': 'Yes, you can adjust your study schedule to fit the course requirements within the 5 - 15 hour range.'}",data-engineering-zoomcamp,ea739c65
"{'question': 'Is there a way to determine the specific number of hours I should dedicate to this course based on my own knowledge and experience?', 'answer': 'Yes, you can calculate it yourself using the data provided or update the answer based on your own assessment.'}",data-engineering-zoomcamp,ea739c65
"{'question': 'What sources can I refer to for more information about the estimated hours per week for this course?', 'answer': 'You can refer to [source1] and [source2] for more information about the estimated hours per week for this course.'}",data-engineering-zoomcamp,ea739c65
Is it possible to complete the course at my own pace and receive a certificate?,data-engineering-zoomcamp,cb257ee5
Can I get a certificate for the course if I opt for the self-paced mode?,data-engineering-zoomcamp,cb257ee5
Why can't I get a certificate for the self-paced course?,data-engineering-zoomcamp,cb257ee5
Why is peer-review of capstone(s) necessary for receiving a certificate?,data-engineering-zoomcamp,cb257ee5
Can I peer-review projects and receive a certificate outside the scheduled course run?,data-engineering-zoomcamp,cb257ee5
"{'question': 'How can I access the video/zoom link for the Office Hour or workshop sessions?', 'answer': 'The zoom link is only published to instructors/presenters/TAs. As a student, you participate via Youtube Live and submit questions to Slido. The video URL is posted in the announcements channel on Telegram & Slack before it begins, and it will also be live on the DataTalksClub YouTube Channel.'}",data-engineering-zoomcamp,04aa4897
